geo_code,geo_name,fy,obligated_amount,population,per_capita
GA,Georgia,2016,17573377432.42,10711908.0,1640.545963652787
GA,Georgia,2017,17423106061.68,10711908.0,1626.5175225253988
GA,Georgia,2018,19105092712.23,10711908.0,1783.537789180975
GA,Georgia,2019,18928099078.38,10711908.0,1767.014716554698
GA,Georgia,2020,24688516245.84,10711908.0,2304.772991500674
GA,Georgia,2021,23739427194.91,10711908.0,2216.171684345123
GA,Georgia,2022,24984323611.96,10711908.0,2332.3878072851257
GA,Georgia,2023,25104117401.33,10711908.0,2343.5710427432723
GA,Georgia,2024,28781787286.13,10711908.0,2686.8964227596057
GU,Guam,2008,361298868.13,153836.0,2348.5976502899193
GU,Guam,2009,313146378.57,153836.0,2035.5858093684183
GU,Guam,2010,567281838.71,153836.0,3687.575331586885
GU,Guam,2011,454308933.01,153836.0,2953.2029759614134
GU,Guam,2012,327068460.58,153836.0,2126.0853154008164
GU,Guam,2013,344842202.66,153836.0,2241.622264359448
GU,Guam,2014,373530718.06,153836.0,2428.1099226448946
GU,Guam,2015,327615289.97,153836.0,2129.639941041109
GU,Guam,2016,471581608.02,153836.0,3065.4827739930834
GU,Guam,2017,646005420.44,153836.0,4199.312387477574
GU,Guam,2018,611261464.4,153836.0,3973.461767076627
GU,Guam,2019,723032152.34,153836.0,4700.019191476637
GU,Guam,2020,966572987.49,153836.0,6283.139105865987
GU,Guam,2021,1683272184.96,153836.0,10941.991373670662
GU,Guam,2022,696930551.78,153836.0,4530.347589510908
GU,Guam,2023,1545888510.0,153836.0,10048.938544943967
GU,Guam,2024,1846062721.41,153836.0,12000.199702345355
HI,Hawaii,2008,2585527520.39,1455271.0,1776.663948082522
HI,Hawaii,2009,4547550868.63,1455271.0,3124.8824917352163
HI,Hawaii,2010,3241658448.28,1455271.0,2227.529063851338
HI,Hawaii,2011,6331285393.86,1455271.0,4350.588580312533
HI,Hawaii,2012,5893363316.41,1455271.0,4049.6672553840485
HI,Hawaii,2013,6250190361.43,1455271.0,4294.86354186265
HI,Hawaii,2014,3982489201.08,1455271.0,2736.596277311923
HI,Hawaii,2015,3410194846.28,1455271.0,2343.3400694990833
HI,Hawaii,2016,3692938853.77,1455271.0,2537.629660571811
HI,Hawaii,2017,3654961659.45,1455271.0,2511.533356639416
HI,Hawaii,2018,3863889597.4,1455271.0,2655.099701292749
HI,Hawaii,2019,3875327583.52,1455271.0,2662.959396236165
HI,Hawaii,2020,4926057993.1,1455271.0,3384.97640171487
HI,Hawaii,2021,5224224197.69,1455271.0,3589.8634671411714
HI,Hawaii,2022,5422806298.18,1455271.0,3726.320594707103
HI,Hawaii,2023,6180922030.77,1455271.0,4247.265307128363
HI,Hawaii,2024,7376445873.31,1455271.0,5068.778167990705
IA,Iowa,2008,4099122431.91,3190369.0,1284.8427350911445
IA,Iowa,2009,6349573304.09,3190369.0,1990.231632795454
IA,Iowa,2010,4680599828.8,3190369.0,1467.102967963894
IA,Iowa,2011,5819595502.11,3190369.0,1824.113606328923
IA,Iowa,2012,5627618101.66,3190369.0,1763.939563624145
IA,Iowa,2013,5725322870.37,3190369.0,1794.5644752597584
IA,Iowa,2014,5631406365.54,3190369.0,1765.1269698081946
IA,Iowa,2015,5999975365.62,3190369.0,1880.6524780111642
IA,Iowa,2016,5804975537.71,3190369.0,1819.531075468073
IA,Iowa,2017,5997072788.18,3190369.0,1879.7426843666046
IA,Iowa,2018,6837151893.86,3190369.0,2143.0599074464426
IA,Iowa,2019,6928479815.71,3190369.0,2171.6860387340776
IA,Iowa,2020,8793606452.79,3190369.0,2756.2976109628703
IA,Iowa,2021,9391667384.32,3190369.0,2943.7558427630156
IA,Iowa,2022,9592506404.37,3190369.0,3006.7075013485905
IA,Iowa,2023,9027131852.47,3190369.0,2829.4945984210603
IA,Iowa,2024,9796040140.4,3190369.0,3070.503800782919
ID,Idaho,2008,1736984883.58,1839106.0,944.4724140859744
ID,Idaho,2009,3207621794.11,1839106.0,1744.12012907902
ID,Idaho,2010,2521353534.15,1839106.0,1370.9669448906154
ID,Idaho,2011,3254533010.86,1839106.0,1769.6277489497616
ID,Idaho,2012,2906454136.85,1839106.0,1580.3624896281128
ID,Idaho,2013,3370326382.93,1839106.0,1832.5895206312196
ID,Idaho,2014,2926162830.37,1839106.0,1591.0789429048677
ID,Idaho,2015,3014132045.36,1839106.0,1638.9115392804983
ID,Idaho,2016,3239930074.01,1839106.0,1761.6875123076104
ID,Idaho,2017,3324539004.07,1839106.0,1807.6929791268149
ID,Idaho,2018,3432444537.92,1839106.0,1866.3657983389755
ID,Idaho,2019,3648999979.11,1839106.0,1984.1161842275542
ID,Idaho,2020,4475160950.61,1839106.0,2433.3349739547366
ID,Idaho,2021,4680519565.99,1839106.0,2544.997170358859
ID,Idaho,2022,5393059892.0,1839106.0,2932.4355920757152
ID,Idaho,2023,5170501842.65,1839106.0,2811.4213333271705
ID,Idaho,2024,6563837003.42,1839106.0,3569.036805610987
IL,Illinois,2008,17711105184.18,12812508.0,1382.3292976035605
IL,Illinois,2009,26308665917.32,12812508.0,2053.3580090111946
IL,Illinois,2010,18959176428.56,12812508.0,1479.7396753672272
IL,Illinois,2011,19314189090.39,12812508.0,1507.4479633800033
IL,Illinois,2012,19980990930.08,12812508.0,1559.4910012996677
IL,Illinois,2013,21176877150.12,12812508.0,1652.8284040969963
IL,Illinois,2014,21131615337.69,12812508.0,1649.295777039905
IL,Illinois,2015,20555273411.29,12812508.0,1604.3130206271871
IL,Illinois,2016,23002812963.47,12812508.0,1795.3403785948856
IL,Illinois,2017,21390552137.47,12812508.0,1669.5054658674164
IL,Illinois,2018,24226675548.02,12812508.0,1890.861301161334
IL,Illinois,2019,24655180533.5,12812508.0,1924.3055718287162
IL,Illinois,2020,30317238749.85,12812508.0,2366.222034737461
IL,Illinois,2021,41207062600.19,12812508.0,3216.1589752911764
IL,Illinois,2022,31946001270.29,12812508.0,2493.34488378778
IL,Illinois,2023,35038770741.77,12812508.0,2734.7316186471844
IL,Illinois,2024,37663178386.16,12812508.0,2939.563306899789
IN,Indiana,2008,10387624101.17,6785528.0,1530.8497881329206
IN,Indiana,2009,13986245126.43,6785528.0,2061.1874457566164
IN,Indiana,2010,8456180239.99,6785528.0,1246.2081417967768
IN,Indiana,2011,9604211309.8,6785528.0,1415.3963125345588
IN,Indiana,2012,24076476524.83,6785528.0,3548.2097376696406
IN,Indiana,2013,25928670513.96,6785528.0,3821.1721348670285
IN,Indiana,2014,28327099988.06,6785528.0,4174.634602946153
IN,Indiana,2015,30733546369.78,6785528.0,4529.278542477461
IN,Indiana,2016,31738427856.38,6785528.0,4677.3704060140935
IN,Indiana,2017,32519989109.36,6785528.0,4792.551015832519
IN,Indiana,2018,33229779612.7,6785528.0,4897.154593231359
IN,Indiana,2019,36489504189.75,6785528.0,5377.548245287618
IN,Indiana,2020,38362289357.97,6785528.0,5653.545215342122
IN,Indiana,2021,38524048385.39,6785528.0,5677.384042242549
IN,Indiana,2022,42312291979.11,6785528.0,6235.6668455439285
IN,Indiana,2023,44239245302.89,6785528.0,6519.64671030611
IN,Indiana,2024,48615113127.46,6785528.0,7164.5291460679255
KS,Kansas,2008,3980722043.22,2937880.0,1354.9641385012321
KS,Kansas,2009,11094352607.27,2937880.0,3776.3123773843727
KS,Kansas,2010,4038240980.14,2937880.0,1374.5425205045815
KS,Kansas,2011,4661052486.74,2937880.0,1586.5360350797173
KS,Kansas,2012,4491707147.24,2937880.0,1528.8940144730213
KS,Kansas,2013,4289803262.29,2937880.0,1460.1696673417566
KS,Kansas,2014,4489747659.76,2937880.0,1528.2270411861616
KS,Kansas,2015,4323479496.81,2937880.0,1471.6324345480416
KS,Kansas,2016,4342973522.74,2937880.0,1478.2678403270384
KS,Kansas,2017,4909698499.24,2937880.0,1671.170537680232
KS,Kansas,2018,5399596822.01,2937880.0,1837.922863428731
KS,Kansas,2019,5648165746.16,2937880.0,1922.531126581072
KS,Kansas,2020,6820576507.27,2937880.0,2321.598059576974
KS,Kansas,2021,7069944925.02,2937880.0,2406.4784555597917
KS,Kansas,2022,9606439175.63,2937880.0,3269.8541722704804
KS,Kansas,2023,7728813298.95,2937880.0,2630.7450607070405
KS,Kansas,2024,8715367480.65,2937880.0,2966.549852495677
KY,Kentucky,2008,9493325492.2,4505836.0,2106.89547782032
KY,Kentucky,2009,11082977484.2,4505836.0,2459.6939356425755
KY,Kentucky,2010,7887404299.21,4505836.0,1750.4863246709378
KY,Kentucky,2011,8625488420.65,4505836.0,1914.2925798120482
KY,Kentucky,2012,13768174929.38,4505836.0,3055.6316140622957
KY,Kentucky,2013,17864833343.54,4505836.0,3964.821032887127
KY,Kentucky,2014,20529281171.45,4505836.0,4556.153657489976
KY,Kentucky,2015,22172969519.39,4505836.0,4920.944641436128
KY,Kentucky,2016,27374831406.57,4505836.0,6075.416727677172
KY,Kentucky,2017,24705341010.19,4505836.0,5482.964983676725
KY,Kentucky,2018,20509438134.2,4505836.0,4551.749804964051
KY,Kentucky,2019,27595593345.95,4505836.0,6124.411395787596
KY,Kentucky,2020,32217092703.37,4505836.0,7150.081073383496
KY,Kentucky,2021,36976641247.98,4505836.0,8206.388614228305
KY,Kentucky,2022,45561695273.59,4505836.0,10111.707410919971
KY,Kentucky,2023,40786920649.19,4505836.0,9052.020679223568
KY,Kentucky,2024,48376092223.47,4505836.0,10736.318903632977
LA,Louisiana,2008,8089018623.19,4657757.0,1736.676821738446
LA,Louisiana,2009,38013612634.38,4657757.0,8161.3559132389255
LA,Louisiana,2010,9075474566.3,4657757.0,1948.4645863448864
LA,Louisiana,2011,42905828014.84,4657757.0,9211.693099240685
LA,Louisiana,2012,42845382615.53,4657757.0,9198.715737109085
LA,Louisiana,2013,42987971910.02,4657757.0,9229.329033270735
LA,Louisiana,2014,7522139272.74,4657757.0,1614.9703114052536
LA,Louisiana,2015,6903769106.24,4657757.0,1482.208948693545
LA,Louisiana,2016,10481820604.5,4657757.0,2250.400912821343
LA,Louisiana,2017,7431285637.27,4657757.0,1595.464434333951
LA,Louisiana,2018,8164550546.03,4657757.0,1752.8931943057569
LA,Louisiana,2019,8440122385.3,4657757.0,1812.0572595994167
LA,Louisiana,2020,12651636909.56,4657757.0,2716.2509571796036
LA,Louisiana,2021,13529490985.77,4657757.0,2904.7223772665684
LA,Louisiana,2022,12635734023.65,4657757.0,2712.8366773212942
LA,Louisiana,2023,13461223497.57,4657757.0,2890.0656469562496
LA,Louisiana,2024,13013819915.34,4657757.0,2794.010060065392
MA,Massachusetts,2008,11952379826.87,7029917.0,1700.2163506155196
MA,Massachusetts,2009,15840469091.56,7029917.0,2253.2938997089154
MA,Massachusetts,2010,13274915079.04,7029917.0,1888.3459191680358
MA,Massachusetts,2011,17355062597.46,7029917.0,2468.743599314188
MA,Massachusetts,2012,21068522780.79,7029917.0,2996.9803030092676
MA,Massachusetts,2013,22795971405.27,7029917.0,3242.708470849656
MA,Massachusetts,2014,18148236891.83,7029917.0,2581.572000328027
MA,Massachusetts,2015,16920281278.56,7029917.0,2406.89630881275
MA,Massachusetts,2016,17394443241.41,7029917.0,2474.3454640232594
MA,Massachusetts,2017,17907757955.64,7029917.0,2547.3640664093186
MA,Massachusetts,2018,19730057275.94,7029917.0,2806.5846689142986
MA,Massachusetts,2019,19926456154.87,7029917.0,2834.522250386455
MA,Massachusetts,2020,23067086331.21,7029917.0,3281.274349499432
MA,Massachusetts,2021,25006348273.31,7029917.0,3557.1327902320895
MA,Massachusetts,2022,26155807486.5,7029917.0,3720.6424324070967
MA,Massachusetts,2023,26272383049.01,7029917.0,3737.2252117642356
MA,Massachusetts,2024,37153695419.51,7029917.0,5285.0830841260295
MD,Maryland,2008,15625664302.96,6177224.0,2529.5609003267487
MD,Maryland,2009,21351356777.36,6177224.0,3456.4647125245906
MD,Maryland,2010,17615644121.61,6177224.0,2851.7088131513447
MD,Maryland,2011,22577146566.8,6177224.0,3654.9017109951005
MD,Maryland,2012,22494594966.59,6177224.0,3641.5378439554725
MD,Maryland,2013,24215176767.4,6177224.0,3920.074254616637
MD,Maryland,2014,21185241404.96,6177224.0,3429.5731229691523
MD,Maryland,2015,20755690632.1,6177224.0,3360.035289654382
MD,Maryland,2016,23068658374.87,6177224.0,3734.470107425277
MD,Maryland,2017,23251003538.01,6177224.0,3763.9890568983733
MD,Maryland,2018,24353590884.05,6177224.0,3942.481425969011
MD,Maryland,2019,24682800497.53,6177224.0,3995.775529190782
MD,Maryland,2020,29897686372.02,6177224.0,4839.98740729169
MD,Maryland,2021,30191133863.32,6177224.0,4887.492158827331
MD,Maryland,2022,34289092296.7,6177224.0,5550.890221351857
MD,Maryland,2023,31275434428.32,6177224.0,5063.024172074705
MD,Maryland,2024,41628059188.21,6177224.0,6738.958986789211
ME,Maine,2008,2152114445.86,1362359.0,1579.6970151479898
ME,Maine,2009,3199934601.46,1362359.0,2348.818924718081
ME,Maine,2010,2444531745.46,1362359.0,1794.3374290183424
ME,Maine,2011,7017939758.93,1362359.0,5151.314564611825
ME,Maine,2012,2915579585.45,1362359.0,2140.096395626997
ME,Maine,2013,3714923741.1,1362359.0,2726.8317243105525
ME,Maine,2014,2859766944.0,1362359.0,2099.1287494705875
ME,Maine,2015,2792324486.18,1362359.0,2049.6245748587558
ME,Maine,2016,3019152457.08,1362359.0,2216.121049649909
ME,Maine,2017,4650316552.54,1362359.0,3413.4296118277193
ME,Maine,2018,3343570191.28,1362359.0,2454.250451811894
ME,Maine,2019,3505505858.81,1362359.0,2573.114618694485
ME,Maine,2020,3862029141.13,1362359.0,2834.810164670252
ME,Maine,2021,4565090335.91,1362359.0,3350.8717862986186
ME,Maine,2022,4877867078.93,1362359.0,3580.456457460919
ME,Maine,2023,6581768420.38,1362359.0,4831.155679508852
ME,Maine,2024,5952203389.36,1362359.0,4369.0417792666985
MI,Michigan,2008,16152819681.0,10077331.0,1602.8866850756415
MI,Michigan,2009,28644859960.5,10077331.0,2842.504623545659
MI,Michigan,2010,15465521545.9,10077331.0,1534.6842875261316
MI,Michigan,2011,17366458277.07,10077331.0,1723.3192277866033
MI,Michigan,2012,17124713962.54,10077331.0,1699.330305071849
MI,Michigan,2013,18932140887.68,10077331.0,1878.6860218921063
MI,Michigan,2014,19069775007.59,10077331.0,1892.343816789386
MI,Michigan,2015,19717279050.37,10077331.0,1956.59734213057
MI,Michigan,2016,22060264257.05,10077331.0,2189.0979126367884
MI,Michigan,2017,21570227134.72,10077331.0,2140.4702430355815
MI,Michigan,2018,24324613965.46,10077331.0,2413.795276294884
MI,Michigan,2019,23161010828.5,10077331.0,2298.3278834941516
MI,Michigan,2020,28148427038.68,10077331.0,2793.242281977242
MI,Michigan,2021,28294705709.52,10077331.0,2807.757898348283
MI,Michigan,2022,32542583637.31,10077331.0,3229.285972378004
MI,Michigan,2023,30651393445.17,10077331.0,3041.6182067622863
