fy,quarter,budget_function_code,budget_function_name,budget_subfunction_code,budget_subfunction_name,amount,total
2018,1,350,Agriculture,351,Farm income stabilization,4141240499.26,
2018,1,350,Agriculture,352,Agricultural research and services,340356630.44,
2018,1,370,Commerce and Housing Credit,371,Mortgage credit,841156646.17,
2018,1,370,Commerce and Housing Credit,373,Deposit insurance,-51388975.7,
2018,1,370,Commerce and Housing Credit,376,Other advancement of commerce,7204677508.3,
2018,1,400,Transportation,401,Ground transportation,7171641952.36,
2018,1,400,Transportation,402,Air transportation,7321189061.5,
2018,1,400,Transportation,403,Water transportation,2559986693.69,
2018,1,400,Transportation,407,Other transportation,336420265.47,
2018,1,450,Community and Regional Development,451,Community development,2203162147.27,
2018,1,450,Community and Regional Development,452,Area and regional development,9177681309.36,
2018,1,450,Community and Regional Development,453,Disaster relief and insurance,21856127763.15,
2018,1,500,"Education, Training, Employment, and Social Services",501,"Elementary, secondary, and vocational education",23024186242.49,
2018,1,500,"Education, Training, Employment, and Social Services",502,Higher education,2201349425.67,
2018,1,500,"Education, Training, Employment, and Social Services",503,Research and general education aids,678513831.63,
2018,1,500,"Education, Training, Employment, and Social Services",504,Training and employment,2606191054.2,
2018,1,500,"Education, Training, Employment, and Social Services",505,Other labor services,497647295.45,
2018,1,500,"Education, Training, Employment, and Social Services",506,Social services,2390535338.04,
2018,1,550,Health,551,Health care services,147403545434.31,
2018,1,550,Health,552,Health research and training,5472690783.59,
2018,1,550,Health,554,Consumer and occupational health and safety,1562169278.07,
2018,1,570,Medicare,571,Medicare,228400341812.35,
2018,1,600,Income Security,601,General retirement and disability insurance (excluding social se,5978377268.61,
2018,1,600,Income Security,602,Federal employee retirement and disability,37560195709.16,
2018,1,600,Income Security,603,Unemployment compensation,7445775047.69,
2018,1,600,Income Security,604,Housing assistance,14861258280.75,
2018,1,600,Income Security,605,Food and nutrition assistance,28823597058.99,
2018,1,600,Income Security,609,Other income security,28707277035.33,
2018,1,650,Social Security,651,Social security,254305886252.52,
2018,1,700,Veterans Benefits and Services,701,Income security for veterans,23017682418.48,
2018,1,700,Veterans Benefits and Services,702,"Veterans education, training, and rehabilitation",3894634560.99,
2018,1,700,Veterans Benefits and Services,703,Hospital and medical care for veterans,20971123412.36,
2018,1,700,Veterans Benefits and Services,704,Veterans housing,167391395.48,
2018,1,700,Veterans Benefits and Services,705,Other veterans benefits and services,3301100304.24,
2018,1,750,Administration of Justice,751,Federal law enforcement activities,10784087213.95,
2018,1,750,Administration of Justice,752,Federal litigative and judicial activities,2480613982.09,
2018,1,750,Administration of Justice,753,Federal correctional activities,1695508758.15,
2018,1,750,Administration of Justice,754,Criminal justice assistance,563674596.66,
2018,1,800,General Government,801,Legislative functions,130946170.91,
2018,1,800,General Government,802,Executive direction and management,102625126.8,
2018,1,800,General Government,803,Central fiscal operations,43434167179.56,
2018,1,800,General Government,804,General property and records management,6692793871.47,
2018,1,800,General Government,805,Central personnel management,9922264720.62,
2018,1,800,General Government,806,General purpose fiscal assistance,1612583890.03,
2018,1,800,General Government,808,Other general government,898777462.05,
2018,1,900,Net Interest,901,Interest on Treasury debt securities (gross),146253473252.55,
2018,1,900,Net Interest,908,Other interest,3995976264.22,
2018,2,000,Governmental Receipts,000,Governmental Receipts,0.0,
2018,2,050,National Defense,051,Department of Defense-Military,399145055903.0,
2018,2,050,National Defense,053,Atomic energy defense activities,10602751735.01,
2018,2,050,National Defense,054,Defense-related activities,94115478677.68,
2018,2,150,International Affairs,151,International development and humanitarian assistance,9142795468.74,
2018,2,150,International Affairs,152,International security assistance,5233610693.38,
2018,2,150,International Affairs,153,Conduct of foreign affairs,8632309923.22,
2018,2,150,International Affairs,154,Foreign information and exchange activities,529065604.32,
2018,2,150,International Affairs,155,International financial programs,28182518974.16,
2018,2,250,"General Science, Space, and Technology",251,General science and basic research,3747647485.89,
2018,2,250,"General Science, Space, and Technology",252,"Space flight, research, and supporting activities",9747152275.08,
2018,2,270,Energy,271,Energy supply,5255371460.28,
2018,2,270,Energy,272,Energy conservation,598986320.11,
2018,2,270,Energy,274,Emergency energy preparedness,110489543.63,
2018,2,270,Energy,276,"Energy information, policy, and regulation",776202126.14,
2018,2,300,Natural Resources and Environment,301,Water resources,14622420459.54,
2018,2,300,Natural Resources and Environment,302,Conservation and land management,6576415781.43,
2018,2,300,Natural Resources and Environment,303,Recreational resources,1639979097.92,
2018,2,300,Natural Resources and Environment,304,Pollution control and abatement,3183265460.24,
2018,2,300,Natural Resources and Environment,306,Other natural resources,4515900695.31,
2018,2,350,Agriculture,351,Farm income stabilization,12976109743.93,
2018,2,350,Agriculture,352,Agricultural research and services,2694556487.08,
2018,2,370,Commerce and Housing Credit,371,Mortgage credit,5581609695.44,
2018,2,370,Commerce and Housing Credit,373,Deposit insurance,1848303348.9,
2018,2,370,Commerce and Housing Credit,376,Other advancement of commerce,18610999651.91,
2018,2,400,Transportation,401,Ground transportation,16755442385.75,
2018,2,400,Transportation,402,Air transportation,14785245951.11,
2018,2,400,Transportation,403,Water transportation,5247414168.07,
2018,2,400,Transportation,407,Other transportation,628736180.82,
2018,2,450,Community and Regional Development,451,Community development,2801449384.45,
2018,2,450,Community and Regional Development,452,Area and regional development,15978526334.9,
2018,2,450,Community and Regional Development,453,Disaster relief and insurance,30782854537.15,
2018,2,500,"Education, Training, Employment, and Social Services",501,"Elementary, secondary, and vocational education",23952113861.56,
2018,2,500,"Education, Training, Employment, and Social Services",502,Higher education,7693211807.1,
2018,2,500,"Education, Training, Employment, and Social Services",503,Research and general education aids,953732597.09,
2018,2,500,"Education, Training, Employment, and Social Services",504,Training and employment,3891207480.58,
2018,2,500,"Education, Training, Employment, and Social Services",505,Other labor services,1084888485.02,
2018,2,500,"Education, Training, Employment, and Social Services",506,Social services,6370533144.39,
2018,2,550,Health,551,Health care services,333025475310.75,
2018,2,550,Health,552,Health research and training,13351778737.68,
2018,2,550,Health,554,Consumer and occupational health and safety,3229547295.8,
2018,2,570,Medicare,571,Medicare,517593315752.75,
2018,2,600,Income Security,601,General retirement and disability insurance (excluding social se,11890678699.85,
2018,2,600,Income Security,602,Federal employee retirement and disability,75873590668.07,
2018,2,600,Income Security,603,Unemployment compensation,17137350844.45,
2018,2,600,Income Security,604,Housing assistance,27939166006.76,
2018,2,600,Income Security,605,Food and nutrition assistance,54808136738.79,
2018,2,600,Income Security,609,Other income security,119409630300.67,
2018,2,650,Social Security,651,Social security,514922276590.25,
2018,2,700,Veterans Benefits and Services,701,Income security for veterans,46829664376.5,
2018,2,700,Veterans Benefits and Services,702,"Veterans education, training, and rehabilitation",8055055991.49,
2018,2,700,Veterans Benefits and Services,703,Hospital and medical care for veterans,40101559481.73,
2018,2,700,Veterans Benefits and Services,704,Veterans housing,326771766.96,
2018,2,700,Veterans Benefits and Services,705,Other veterans benefits and services,6434567953.37,
2018,2,750,Administration of Justice,751,Federal law enforcement activities,22481566845.3,
2018,2,750,Administration of Justice,752,Federal litigative and judicial activities,5014722991.91,
2018,2,750,Administration of Justice,753,Federal correctional activities,3748170026.03,
2018,2,750,Administration of Justice,754,Criminal justice assistance,1112551030.3,
2018,2,800,General Government,801,Legislative functions,319708196.84,
2018,2,800,General Government,802,Executive direction and management,203005731.89,
2018,2,800,General Government,803,Central fiscal operations,203060148247.21,
2018,2,800,General Government,804,General property and records management,13329704190.86,
2018,2,800,General Government,805,Central personnel management,21384946728.59,
2018,2,800,General Government,806,General purpose fiscal assistance,3090780334.7,
2018,2,800,General Government,808,Other general government,1388602291.53,
2018,2,900,Net Interest,901,Interest on Treasury debt securities (gross),240522274208.02,
2018,2,900,Net Interest,908,Other interest,7732367081.28,
2018,3,000,Governmental Receipts,000,Governmental Receipts,0.0,
2018,3,050,National Defense,051,Department of Defense-Military,624885345422.57,
2018,3,050,National Defense,053,Atomic energy defense activities,21546831930.04,
2018,3,050,National Defense,054,Defense-related activities,97317867005.74,
2018,3,150,International Affairs,151,International development and humanitarian assistance,16770176987.09,
2018,3,150,International Affairs,152,International security assistance,7553721794.36,
2018,3,150,International Affairs,153,Conduct of foreign affairs,14731465142.36,
2018,3,150,International Affairs,154,Foreign information and exchange activities,989342390.65,
2018,3,150,International Affairs,155,International financial programs,37926316854.98,
2018,3,250,"General Science, Space, and Technology",251,General science and basic research,8311932868.06,
